ΤΙΤΛΟΣ,ΛΟΓΟΚΡΙΣΙΑ,ΚΑΤΗΓΟΡΙΑ,ΥΠΟΚΑΤΗΓΟΡΙΑ,ΠΕΡΙΓΡΑΦΗ,ΑΝΑΠΑΡΑΣΤΑΣΗ,ΠΕΡΙΟΔΟΣ,ΧΡΟΝΟΣ,ΦΥΛΟ,ΕΓΚΑΤΑΣΤΑΣΗ,ΕΤΟΣ,ΔΕΚΑΕΤΙΑ,ΕΙΔΟΣ,ΔΗΜΙΟΥΡΓΟΣ,ΚΑΤΑΓΩΓΗ,ΦΟΡΕΑΣ,ΕΠΙΓΡΑΜΜΑ,ΥΛΙΚΟ,ΥΛΙΚΟ-ΠΕΡΙΓΡΑΦΗ,ΤΟΠΟΘΕΣΙΑ,ΚΑΤΕΥΘΥΝΣΗ,ΤΟΠΟΘΕΣΙΑ,ΕΙΚΟΝΑ,ΜΙΚΡΟΓΡΑΦΙΑ,ΣΥΝΤΕΤΑΓΜΕΝΕΣ
ΜΗΤΡΟΠΟΛΙΤΗΣ ΑΥΓΟΥΣΤΙΝΟΣ,ψυχρό,ΘΡΗΣΚΕΙΑ,ΚΛΗΡΙΚΟΙ,"Ο Αυγουστίνος Καντιώτης (1907-2010) ήταν μητροπολίτης Φλωρίνης, Πρεσπών και Εορδαίας από το 1967 έως το 2000, όταν και παραιτήθηκε για λόγους υγείας.",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,2013-07-01,2013,2011-2020,προτομή,Καγιώργης Γιάννης,Τήνος,-,"«Ζητούμεν ελευθέραν και ζώσαν Εκκλησίαν» «Εποιήθη αρχιερατεύοντος του Μητροπολίτου Φλωρίνης, εν σωτηρίω έτει 2013»",μάρμαρο,,"Βρίσκεται στον αύλειο χώρο του Μητροπολιτικού Μεγάρου, αριστερά από τις σκάλες και κοιτάζει βόρεια προς την οδό Μητροπόλεως. Δεξιά από τις σκάλες υπάρχει αναθηματικός τοίχος για την Απελευθέρωση της Φλώρινας, ενώ στη νότια πλευρά του ναού του Αγίου Παντελεήμονα υπάρχει άγαλμα ορθόδοξου κληρικού.",βόρεια,αυλή,http://www.learn4change.gr/files/statues-photos/800px/kantiotis.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/kantiotis.png,"40.778505, 21.40581"
ΜΝΗΜΕΙΟ ΜΑΧΗΤΩΝ ΚΑΙ ΜΑΧΗΤΡΙΩΝ Δ.Σ.Ε.,ψυχρό,ΕΝΟΠΛΗ ΒΙΑ,ΕΜΦΥΛΙΟΣ ΠΟΛΕΜΟΣ,"Μνημείο που ανήγειρε η ΚΕ του ΚΚΕ, προς τιμήν των νεκρών του Δημοκρατικού Στρατού Ελλάδας που σκοτώθηκαν στη μάχη της Φλώρινας τον Φεβρουάριο του 1949. Στο σημείο βρίσκεται ο ομαδικός τάφος 800-850 περίπου μαχητών/τριών.",συμβολική,Νεότερη,20ός αι.,άνδρας+γυναίκα,2016-02-16,2016,2011-2020,ταφικό μνημείο,Μακρής Μέμος,Αθήνα,Κεντρική Επιτροπή ΚΚΕ,"«Είναι αυτοί που νίκησαν το θάνατο. Τιμή και δόξα στους μαχητές και στις μαχήτριες του ΔΣΕ, ΚΕ του Κ.Κ.Ε.»",ορείχαλκος,"Ορειχάλκινο σύμπλεγμα ολόσωμων μορφών, σε μαρμάρινο βάθρο","Βρίσκεται επί της επαρχιακής Οδού Φλώρινας-Κολχικής, αριστερά μετά τα τελευταία σπίτια της πόλης. Έχει όψη προς τα δυτικά. Σε απόσταση 300 μέτρων προς τα δυτικά βρίσκεται το νεκροταφείο και το μνημείο των νεκρών του Εθνικού Στρατού που σκοτώθηκαν κατά τη διάρκεια της Μάχης της Φλώρινας τον Φεβρουάριο του 1949.",δυτικά,αγρός,http://www.learn4change.gr/files/statues-photos/800px/dse.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/dse.png,"40.775009, 21.416189 "
ΜΝΗΜΕΙΟ ΠΕΣΟΝΤΩΝ 1940-41,ψυχρό,ΕΝΟΠΛΗ ΒΙΑ,ΕΛΛΗΝΟΪΤΑΛΙΚΟΣ,Το μνημείο είναι αφιερωμένο στη μνήμη των πεσόντων του Ελληνοϊταλικού πολέμου 1940-1941.,συμβολική,Νεότερη,20ός αι.,χωρίς φύλο,2012-07-01,2012,2011-2020,στήλη,Μίνος Τραϊανός,Φλώρινα,-,"«Αθάνατοι νεκροί, αιωνία σας η μνήμη. Έπεσαν υπέρ Πίστεως και Πατρίδος [ακολουθεί κατάλογος με ονοματεπώνυμα και στρατιωτικούς βαθμούς θανόντων]»",μάρμαρο,"1) Μαρμάρινη στήλη, σε μαρμάρινη βάση 2) μαρμάρινη πλάκα εντοιχισμένη σε παρακείμενο τοίχο","Με όψη προς τα ανατολικά, αποτελεί μέρος ενός μνημειακού συνόλου που βρίσκεται στο νότιο - νοτιοδυτικό άκρο της Πλατείας Γ. Μόδη, μαζί με τον ανδριάντα για τα Ελευθέρια του 1912 και τα Κανόνια.",ανατολικά,πλατεία,http://www.learn4change.gr/files/statues-photos/800px/1940.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/1940.png,"40.779057, 21.407421"
ΜΟΔΗΣ ΓΕΩΡΓΙΟΣ,ψυχρό,ΕΝΟΠΛΗ ΒΙΑ,ΜΑΚΕΔΟΝΙΚΟΣ ΑΓΩΝΑΣ,"Ο Γεώργιος Μόδης (1887 - 1975) ήταν πολιτικός και ένας από τους κυριότερους συγγραφείς του Μακεδονικού αγώνα, στον οποίο έλαβε μέρος. ",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,2012-07-01,2012,2011-2020,προτομή,Δογούλης Νικόλας,Φλώρινα,-,"«Γεώργιος Χρ. Μόδης, 1887-1975, Ο ραψωδός της Μακεδονίας, Μακεδονομάχος, Βουλευτής - Υπουργός, Ιστορικός - Διηγηματογράφος του Μακεδονικού Αγώνος»",ορείχαλκος,"Ορειχάλκινη, σε μαρμάρινο βάθρο","Βρίσκεται στο βόρειο μέρος της Πλατείας Γ. Μόδη, μαζί τις προτομές του Λ. Πύρζα, Ι. Δραγούμη και Ν. Παπαδόπουλου και έχει όψη ανατολικά προς την οδό 25ης Μαρτίου.",ανατολικά,πλατεία,http://www.learn4change.gr/files/statues-photos/800px/modis.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/modis.png,"40.779417, 21.40756"
ΟΡΘΟΔΟΞΟΣ ΚΛΗΡΙΚΟΣ,ψυχρό,ΕΝΝΟΙΕΣ,ΤΙΜΗ,Μνημείο που αναπαριστά ιερέα.,συμβολική,Διαρκής,Διαρκής,άνδρας,1999-07-04,1999,1991-2000,άγαλμα,Χατζή Αλίκη - Βασιλείου Αχιλλέας,Φλώρινα - Δέλβινο Αλβανίας,Ιερά Μητρόπολη. Χορηγός Πρόδρομος Εμφιετζόγλου,"«Ηγέτης και ψυχή του γένους των Ελλήνων, σκλάβων εμψυχωτής, ελευθέρων ελπίδα.»",ορείχαλκος,Ορειχάλκινος ανδριάντας σε μαρμάρινη βάση,"Βρίσκεται στον αύλειο χώρο της εκκλησίας του Αγίου Παντελεήμονα, στη νοτιοανατολική του γωνία και κοιτάζει νότια. Στην ίδια αυλή και μπροστά από το Μητροπολιτικό Μέγαρο βρίσκεται η προτομή του Αυγ. Καντιώτη και ο αναθηματικός τοίχος για την Απελευθέρωση της Φλώρινας.",νότια,αυλή,http://www.learn4change.gr/files/statues-photos/800px/papas.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/papas.png,"40.77820802283177, 21.40633025378441"
ΠΑΠΑΔΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ,ψυχρό,ΕΝΟΠΛΗ ΒΙΑ,ΕΜΦΥΛΙΟΣ ΠΟΛΕΜΟΣ,"Ο Νικόλαος Παπαδόπουλος (1890-1961), γνωστός με το ψευδώνυμο Παππούς, ήταν αξιωματικός του ελληνικού στρατού. Συμμετείχε σε όλες τις πολεμικές συγκρούσεις από τους Βαλκανικούς πολέμους μέχρι και τον Εμφύλιο πόλεμο. Ως επικεφαλής της ΙΙ Μεραρχίας του ελληνικού στρατού απέτρεψε την κατάληψη της πόλης της Φλώρινας από τον Δ.Σ.Ε. νικώντας στη Μάχη της Φλώρινας, στις 12/2/1949.<br>Η προτομή αρχικά είχε τοποθετηθεί στην Πλατεία Σχολείων (σήμερα Εφέδρων Αξιωματικών).",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,1964-03-25,1964,1961-1970,προτομή,Φιλιππότης Στρατής,Τήνος,Γενικό Επιτελείο Στρατού,"«ΝΙΚΟΛΑΟΣ ΠΑΠΑΔΟΠΟΥΛΟΣ ""ΠΑΠΠΟΥΣ"" ΥΠΟΣΤΡΑΤΗΓΟΣ ΔΙΟΙΚΗΤΗΣ ΙΙης ΜΕΡΑΡΧΙΑΣ 1947-1949»",ορείχαλκος,"Ορειχάλκινη, σε μαρμάρινο βάθρο","Βρίσκεται στο βόρειο μέρος της Πλατείας Γ. Μόδη, μαζί τις προτομές του Λ. Πύρζα, Ι. Δραγούμη και Γ. Μόδη και έχει όψη προς τα βόρεια, προς την οδό Μεγάλου Αλεξάνδρου.",βόρεια,πλατεία,http://www.learn4change.gr/files/statues-photos/800px/pappous.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/pappous.png,"40.779451, 21.407422"
ΠΕΣΟΝΤΕΣ Ε.Σ. ΕΜΦΥΛΙΟΥ ΠΟΛΕΜΟΥ,ψυχρό,ΕΝΟΠΛΗ ΒΙΑ,ΕΜΦΥΛΙΟΣ ΠΟΛΕΜΟΣ,Στο στρατιωτικό νεκροταφείο τα περισσότερα μνήματα ανήκουν σε στρατιώτες του Εθνικού Στρατού που σκοτώθηκαν κατά τη διάρκεια της Μάχης της Φλώρινας τον Φεβρουάριο του 1949. Υπάρχουν και μνήματα πεσόντων από άλλες συμπλοκές και μάχες του Εμφυλίου.,συμβολική,Νεότερη,20ός αι.,άνδρας,1961-07-01,1961,1961-1970,στήλη,Άγνωστος,Άγνωστη,-,"«Αιωνία η μνήμη των υπέρ πίστεως και πατρίδος πεσόντων."" ""Οστεοθήκες πεσόντων ηρώων κόκκαλα Ελλήνων ιερά - Αεί τη θυσία έπεται τη νίκη και τω σταυρώ ακολουθεί η ανάσταση.»",μάρμαρο,Μαρμάρινη στήλη,"Βρίσκεται εντός του Στρατιωτικού Νεκροταφείου Φλώρινας, στον δρόμο προς τη Σκοπιά και έχει όψη ανατολικά προς τον κάμπο. Σε απόσταση 300 μέτρων προς τα ανατολικά βρίσκεται το Μνημείο Μαχητών και Μαχητριών του Δημοκρατικού Στρατού Ελλάδας, όπου τάφηκαν σε ομαδικό τάφο οι νεκροί του Δ.Σ.Ε., που σκοτώθηκαν κατά τη διάρκεια της Μάχης της Φλώρινας τον Φεβρουάριο του 1949.",ανατολικά,νεκροταφείο,https://www.learn4change.gr/files/statues-photos/800px/stratiotiko_nekrotafeio_1.jpg,https://www.learn4change.gr/files/statues-photos/thumbnails/stratiotiko_nekrotafeio_1.png,"40.77299262027998, 21.412922384128777"
ΠΗΓΗ ΣΑΚΟΥΛΕΒΑ,ψυχρό,ΕΝΝΟΙΕΣ,ΦΥΣΗ,"Νέος που κρατά λαγήνι σε θέση που αδειάζει. Στην ανατολική πλευρά του βάθρου και στο κάτω μέρος, υπήρχαν δύο μαρμάρινες πλάκες οι οποίες δεν υφίστανται πλέον. Αυτή στ' αριστερά πληροφορούσε για τον τίτλο του αγάλματος, ""Πηγή Σακουλέβα"", ενώ η άλλη στα δεξιά πληροφορούσε ότι ανεγέρθηκε ""Επί Δημάρχου Στεφάνου Παπαναστασίου 12-12-2009"".",συμβολική,Διαρκής,Διαρκής,άνδρας,2009-12-12,2009,2001-2010,άγαλμα,Δογούλης Νικόλας,Φλώρινα,Δήμος Φλώρινας - «Επί Δημάρχου Στεφάνου Παπαναστασίου 12-12-2009»,«ΠΗΓΗ ΣΑΚΟΥΛΕΒΑ»,ορείχαλκος,"Ορειχάλκινος, σε μαρμάρινο βάθρο, μέσα σε μαρμάρινη δεξαμενή","Αποτελεί μέρος μνημειακού συνόλου που βρίσκεται στο ανατολικό μέρος της Πλατείας Επτά Ηρώων, στην αυλή μπροστά από το κτίριο του Φ.Σ.Φ. <i>Ο Αριστοτέλης</i> και εν μέρει στην Πλατεία, μαζί με το μνημείο των Επτά Ηρώων, τον ανδριάντα του Αριστοτέλη και την προτομή του Θεόδωρου Θωμαΐδη.",ανατολικά,πλατεία,http://www.learn4change.gr/files/statues-photos/800px/neos.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/neos.png,"40.777769, 21.404449"
ΠΟΛΥΤΕΚΝΗ ΜΗΤΕΡΑ,ψυχρό,ΕΝΝΟΙΕΣ,ΜΗΤΡΟΤΗΤΑ,"Κεντρική γυναικεία μορφή σε πλάγια θέση, με τέσσερα παιδιά",συμβολική,Διαρκής,Διαρκής,γυναίκα,2005-11-07,2005,2001-2010,στήλη,Δογούλης Νικόλας,Φλώρινα,Σύλλογος Πολυτέκνων Φλώρινας,"«ΜΗΤΕΡΑ ΤΟ ΦΩΣ ΤΟΥ ΚΟΣΜΟΥ» - «Με την ευγενή προσφορά των πολύτεκνων οικογενειών Νομού Φλώρινας ανηγέρθη το μνημείο της πολύτεκνης μάνας Ιούνιος 2005. Επί Δ.Σ. πρόεδρος Νικ. Δημ. Ταμπάκης, γεν. γραμ. Γεώρ. Παν. Λιασόπουλος, αντι/δρος Αθαν. Γεω. Τσίτσης, ταμίας Κων/νος Ιωά. Τσιώτας, σύμβουλοι Σωτ. Ιων. Παρδάλης, Γεώρ. Κοσ. Κλημεντίδης, Λαζ. Ηλία Χριστίδης»",ορείχαλκος,"Ορειχάλκινο ανάγλυφο, πάνω σε τσιμεντένια στήλη επενδεδυμένη με μάρμαρο","Με όψη προς τα δυτικά, βρίσκεται στο βορειοδυτικό άκρο της (ανώνυμης) Πλατείας που σχηματίζεται από τις οδούς Μοναστηρίου και Δημάρχου Αναστασίου Κωτσόπουλου.",δυτικά,πλατεία,http://www.learn4change.gr/files/statues-photos/800px/mitera_polyteknoi.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/mitera_polyteknoi.png,"40.786212, 21.417219 "
ΠΥΡΖΑΣ ΝΙΚΟΛΑΟΣ,ψυχρό,ΕΝΟΠΛΗ ΒΙΑ,ΜΑΚΕΔΟΝΙΚΟΣ ΑΓΩΝΑΣ,Ο Νικόλαος (Λάκης) Πύρζας (1880-1947) συμμετείχε στις περιοδείες του Παύλου Μελά και ανέπτυξε αντάρτικη δράση κατά τη διάρκεια του Μακεδονικού αγώνα.,ρεαλιστική,Νεότερη,20ός αι.,άνδρας,1960-08-28,1960,1951-1960,προτομή,Κοντογιάννης Κωνσταντίνος,Αλμυρός Βόλου,Ερανική Επιτροπή Ανεγέρσεως Προτομών και Ανδριάντων Ν. Φλώρινας,«ΛΑΚΗΣ ΠΥΡΖΑΣ ΟΠΛΑΡΧΗΓΟΣ»,μάρμαρο,"Από λευκό μάρμαρο, σε μαρμάρινο βάθρο","Βρίσκεται στο βόρειο μέρος της Πλατείας Γ. Μόδη, μαζί τις προτομές του Ν. Παπαδόπουλου, Ι. Δραγούμη και Γ. Μόδη και έχει όψη προς τα βόρεια, προς την οδό Μεγάλου Αλεξάνδρου.",βόρεια,πλατεία,http://www.learn4change.gr/files/statues-photos/800px/pirzas.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/pirzas.png,"40.779433, 21.407392"
ΡΩΣΟΣ ΣΤΡΑΤΙΩΤΗΣ,θερμό,ΕΝΟΠΛΗ ΒΙΑ,Α' ΠΑΓΚΟΣΜΙΟΣ ΠΟΛΕΜΟΣ,"Μνημείο αφιερωμένο στους πεσόντες Ρώσους Στρατιώτες στον Α' Παγκόσμιο Πόλεμο στην Φλώρινα. Παρουσιάζει Ρώσο Στρατιώτη, φέροντα την παραδοσιακή πολεμική στολή των Ρώσων Στρατιωτών του Α’ Παγκοσμίου Πολέμου. Έχει σακίδιο στην πλάτη, στο δεξί του χέρι κρατά μεγάλο τουφέκι με εφ’ όπλου λόγχη τοποθετημένο όρθιο στο έδαφος, ενώ στο αριστερό του χέρι κρατά το πηλήκιό του.",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,2015-12-19,2015,2011-2020,άγαλμα,Κικώτης Γιώργος,"Άλμα Άτα, Ωραιόκαστρο","Πρώην Γεν. Πρόξενος της Ρωσίας στη Θεσσαλονίκη Αλεξέι Ποπόβ, Ομοσπονδία Ελληνικών Συλλόγων της Ρωσίας & Φιλανθρωπικό Ίδρυμα του Ιβάν Σαββίδη",«ΣΤΟΥΣ ΡΩΣΟΥΣ ΣΤΡΑΤΙΩΤΕΣ ΤΟΥ ΜΑΚΕΔΟΝΙΚΟΥ ΜΕΤΩΠΟΥ ΤΟΥ Α΄ ΠΑΓΚΟΣΜΙΟΥ ΠΟΛΕΜΟΥ ΠΕΣΟΝΤΕΣ ΣΤΗ ΜΑΧΗ ΤΗΣ ΦΛΩΡΙΝΑΣ ΤΟΝ ΣΕΠΤΕΜΒΡΙΟ ΤΟΥ 1916» [Η ίδια επιγραφή στη ρωσική γλώσσα βρίσκεται στην κατακόρυφη μαρμάρινη πλάκα πίσω από τον στρατιώτη.],ορείχαλκος,"Ορειχάλκινος ανδριάντας και μαρμάρινη στήλη με ορειχάλκινα στοιχεία (δικέφαλος αετός, κλαδί φοίνικα & ξίφος χιαστί, σταυρός). Όλο το μνημείο πάνω σε μαρμάρινο βάθρο.",Βρίσκεται στην Πλατεία Μαραθώνος και έχει όψη προς τα ανατολικά.,ανατολικά,πλατεία,https://www.learn4change.gr/files/statues-photos/800px/rosos.jpg,https://www.learn4change.gr/files/statues-photos/thumbnails/rosos.png,"40.78218222154246, 21.405155234346726"
ΣΑΡΡΗΣ ΜΑΝΟΛΗΣ,ψυχρό,ΕΠΙΣΤΗΜΕΣ-ΠΟΛΙΤΙΣΜΟΣ-ΤΕΧΝΕΣ,ΕΚΠΑΙΔΕΥΣΗ,"Ο Μανόλης Σαρρής (1899 - 1977) καταγόταν από τον Μαραθόκαμπο της Σάμου. Σπούδασε στο Ιεροδιδασκαλείο και στο τριτάξιο Διδασκαλείο Αρρένων Σάμου, παρακολούθησε τη διετή μετεκπαίδευση των δημοδιδασκάλων στο Πανεπιστήμιο Αθηνών (1924-1926) και ολοκλήρωσε τις μεταπτυχιακές σπουδές του στη Γερμανία, όπου αναγορεύτηκε διδάκτορας (1927-1931). Υπηρέτησε ως δάσκαλος σε δημοτικά σχολεία και αργότερα, μετά τις σπουδές του στη Γερμανία, ως καθηγητής στο Ιεροδιδασκαλείο Βελλάς Ιωαννίνων, στη Μέση Ανατολή όπου είχε διαφύγει κατά τη διάρκεια της Κατοχής, κατόπιν στη Γερμανία και στη συνέχεια ως υποδιευθυντής και διευθυντής στην Παιδαγωγική Ακαδημία Φλώρινας την περίοδο 1951-1956, στη Ζαρίφειο Παιδαγωγική Ακαδημία Αλεξανδρούπολης 1956-1963 και ως διευθυντής της Μαρασλείου Παιδαγωγικής Ακαδημίας Αθηνών 1963-1966.<br>Εκτός από το παιδαγωγικό του έργο, ο Σαρρής οργάνωσε βιβλιοθήκες, σπουδαστικά συσσίτια και οικοτροφεία, εκπόνησε έρευνες, συνέγραψε βιβλία και επιστημονικά άρθρα και εξέδωσε τα παιδαγωγικά περιοδικά «Νέος Δάσκαλος» και «Φάρος Νέος Δάσκαλος».<br>Βιβλιογραφία: Θωίδη - Βασιλειάδη Λίνα, Θωίδης Δημήτρης, 2000, Μανόλης Γ. Σαρρής - Ο παιδαγωγός και ο άνθρωπος, Θεσσαλονίκη: Αφοί Κυριακίδη. ",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,2002-07-01,2002,2001-2010,προτομή,Δογούλης Νικόλας,Φλώρινα,Απόφοιτοι της Π.Α.Φ. 1956,«Οι απόφοιτοι της Π.Α.Φ. 1956 - Με αγάπη»,ορείχαλκος,"Ορειχάλκινη, σε μαρμάρινο βάθρο","Η προτομή είναι τοποθετημένη εσωτερικά στο κτίριο της Σχολής Ανθρωπιστικών Επιστημών, έξω από το μεγάλο αμφιθέατρο και κοιτάζει βόρεια. Εντός του κτιρίου, μπροστά από τη βιβλιοθήκη βρίσκεται η προτομή του Μ. Σουλιώτη.",βόρεια,εσωτερικός χώρος,https://www.learn4change.gr/files/statues-photos/800px/sarris.jpg,https://www.learn4change.gr/files/statues-photos/thumbnails/sarris.png,"40.801382033484174, 21.42302899529504"
ΣΟΥΛΙΩΤΗΣ ΜΙΜΗΣ,ψυχρό,ΕΠΙΣΤΗΜΕΣ-ΠΟΛΙΤΙΣΜΟΣ-ΤΕΧΝΕΣ,ΓΛΩΣΣΑ,"Ο Μίμης Σουλιώτης (1949 - 2012) ήταν Έλληνας συγγραφέας, ποιητής, εκδότης και πανεπιστημιακός. Ίδρυσε το Βαλκανικό Άσυλο Ποίησης στις Πρέσπες και οργάνωσε το πρώτο πρόγραμμα δημιουργικής γραφής στην Ελλάδα. Δίδαξε στην Παιδαγωγική Σχολή Φλώρινας και σε άλλα πανεπιστήμια της Ελλάδας και της Κύπρου.",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,2014-07-01,2014,2011-2020,προτομή,Τσώτσος Χρήστος,Φλώρινα,Παιδαγωγική Σχολή Φλώρινας,"«ΒΑΘΙΑ ΕΠΙΦΑΝΕΙΑ | Αύτανδροι - Βυθίστηκα στον διαμπερή μου ύπνο, αύτανδρος∙ βυθίστηκες και συ μαζί μου, αύτανδρη – και φολέγανδρη»",ορείχαλκος,,"Η προτομή είναι τοποθετημένη εσωτερικά στο κτίριο της Σχολής Ανθρωπιστικών Επιστημών, δεξιά από την είσοδο της Βιβλιοθήκης και κοιτάζει νότια. Εντός του κτιρίου, έξω από το μεγάλο αμφιθέατρο βρίσκεται η προτομή του Μ. Σαρρή.",νότια,εσωτερικός χώρος,https://www.learn4change.gr/files/statues-photos/800px/souliotis.jpg,https://www.learn4change.gr/files/statues-photos/thumbnails/souliotis.png,"40.8018214008686, 21.42314876530249"
ΣΩΜΑΤΑ ΑΣΦΑΛΕΙΑΣ,ψυχρό,ΣΩΜΑΤΑ ΑΣΦΑΛΕΙΑΣ,ΜΝΗΜΗ,"Η Ελληνική Χωροφυλακή ήταν σώμα ασφάλειας της Ελλάδας που συστήθηκε με βασιλικό διάταγμα το 1833. Το 1984 συγχωνεύθηκε με την Αστυνομία Πόλεων σε ενιαίο αστυνομικό σώμα με την ονομασία Ελληνική Αστυνομία (ΕΛ.ΑΣ.). Η Αγροφυλακή είχε ως σκοπό την τήρηση της δημόσιας τάξης και την πρόληψη του εγκλήματος σε αγροτικές περιφέρειες και χώρους. Σε κάθε πλευρά του μνημείου αναγράφεται και ένα σώμα ασφαλείας: μπροστά Χωροφυλακή, πίσω Αστυνομία, δεξιά Αγροφυλακή, αριστερά Πυροσβεστική.",συμβολική,Νεότερη,19ος-20ός αι.,χωρίς φύλο,2006-09-26,2006,2001-2010,στήλη,Άγνωστος,Άγνωστη,-,«Μνημείον Πεσόντων Ανδρών Σωμάτων Ασφαλείας Χωροφυλακής - Ελλ. Αστυνομίας - Πυροσβεστικής - Αγροφυλακής. Αθάνατοι Νεκροί. Αιωνία σας η μνήμη»,μάρμαρο,Μαρμάρινη στήλη,"Το μνημείο της Ελληνικής Χωροφυλακής βρίσκεται στη συμβολή της Λ. Κ. Καραμανλή με την οδό Αγνώστου Στρατιώτη, με πρόσοψη νότια προς την Κ. Καραμανλή. Επί της λεωφόρου Κ. Καραμανλή βρίσκονται δύο προτομές μακεδονομάχων, του Ζώη και του Σούλιου, δύο μνημεία, για τη Γενοκτονία των Ποντίων και την Ελληνική Χωροφυλακή και η προτομή του Καστρισιανάκη.",νότια,νησίδα,http://www.learn4change.gr/files/statues-photos/800px/xorofilaki.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/xorofilaki.png,"40.783555, 21.410991"
ΤΣΑΜΗΣ ΠΑΥΛΟΣ,ψυχρό,ΕΝΝΟΙΕΣ,ΠΡΟΣΦΟΡΑ,"Ο Παύλος Τσάμης, αξιωματικός του ελληνικού στρατού, γεννήθηκε στο Πισοδέρι το 1914. Αποφοίτησε από τη Μοδέστειο Σχολή του χωριού του και τη Σχολή Ευελπίδων. Υπηρέτησε στη Σχολή Άμυνας του ΝΑΤΟ στο Παρίσι και ασχολήθηκε με τα πυρηνικά όπλα. Το 1963 προήχθη στον βαθμό του Ταξίαρχου. Στη συνέχεια παραιτήθηκε, ανέλαβε τη συγκρότηση της Διεύθυνσης Απόδημων Μακεδόνων και διετέλεσε διευθυντής του Κέντρου Απόδημων Μακεδόνων από το 1966 μέχρι τον θάνατό του το 1975. Για τα αποκαλυπτήρια της προτομής του Παύλου Τσάμη βλ. <i>Φωνή της Φλωρίνης</i>, φ. 975, 7/8/1981, σ. 1.",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,1981-08-08,1981,1981-1990,προτομή,Δογούλης Νικόλας,Φλώρινα,Παμμακεδονική Ένωση Αυστραλίας,«ΠΑΥΛΟΣ Λ. ΤΣΑΜΗΣ ΤΑΞΙΑΡΧΟΣ Ε. Α. ΔΙΕΥΘΥΝΤΗΣ ΚΕΝΤΡΟΥ ΑΠΟΔΗΜΩΝ ΜΑΚΕΔΟΝΩΝ ΕΤΑΙΡΕΙΑΣ ΜΑΚΕΔΟΝΙΚΩΝ ΣΠΟΥΔΩΝ ΔΩΡΕΑ ΠΑΜΜΑΚΕΔΟΝΙΚΗΣ ΕΝΩΣΕΩΣ ΑΥΣΤΡΑΛΙΑΣ»,ορείχαλκος,"Ορειχάλκινη, σε μαρμάρινο βάθρο",Βρίσκεται στο δυτικό άκρο της νησίδας που εκτείνεται κατά μήκος της βόρειας πλευράς της Λ. Μακεδομάχων και κοιτάζει προς τα δυτικά. Στο ανατολικό άκρο της ίδιας νησίδας βρίσκεται Επιτύμβια Στήλη της ρωμαϊκής περιόδου.,δυτικά,νησίδα,http://www.learn4change.gr/files/statues-photos/800px/tsamis.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/tsamis.png,"40.782158, 21.408695"
